At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Village/Sub-district,Yes,Student ,Female,Cox's Bazar,Chittagong,Grade 11,Upto Grade 10,Private school,Other,70 to 80,Own mobile phone,3,10,"< BDT 12,000","8,000","8,000","2,000","2,000","Convenience, no need to travel",,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Female,Jhenaidah,Khulna,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,3,8,"< BDT 12,000","8,000","8,000",500,500,Quality of teachers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
District City,Yes,Student ,Male,Dinajpur,Rangpur,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,5,"BDT 24,000 - 45,000","8,000","8,000","8,000","8,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,No,Student ,Female,Bogura,Rajshahi,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,4,5,"BDT 12,000 - 16,000",8000 tk ,"8,000",Physics 16000 tk (2 nd year & admisson course) . Chemistry 8500 tk ( only 2 nd year course). Math 9000tk ( 2 nd year & hsc preparation course)   উদ্ভাস ( ৭০০০টাকা hsc preparation course) unmesh (16000tk medical coaching) math ( 7000tk 1st yrar course)   ,0,Content quality,Quality of teachers,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Strengthen on-line student community,Lower cost,,,,
Divisional City/City Corporation,Yes,Student ,Male,Chittagong,Chittagong,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,8,"BDT 12,000 - 16,000","8,000","8,000","5,000","5,000",Content quality,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Female,Chittagong,Chittagong,Grade 12,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,10,"< BDT 12,000","8,000","8,000","3,000","3,000",Content quality,Quality of teachers,Travel restriction to in-person centers,Cheaper cost of access,Others,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Male,Gazipur,Dhaka,Grade 12,Up to Grade 12,"Public school, government run",Other,70 to 80,Own mobile phone,5,9,"< BDT 12,000","8,000","8,000","6,000","6,000",Quality of teachers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,No,Student ,Female,Dhaka,Dhaka,Grade 12,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,9,"BDT 24,000 - 45,000","8,000","8,000","1,000","1,000","Convenience, no need to travel",,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
Village/Sub-district,Yes,Student ,Male,Panchagarh,Rangpur,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,4,10,"BDT 16,000 - 24,000","8,000","8,000","4,000","4,000",Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Others,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
District City,No,Student ,Male,Dhaka,Dhaka,Grade 12,Up to Masters,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,3,0,"> BDT 45,000","8,000","8,000","4,000","4,000",Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
District City,No,Student ,Male,Jessore,Khulna,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,8,"BDT 12,000 - 16,000","8,000","8,000","6,000","6,000",Content quality,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,Yes,Student ,Male,Chandpur,Chittagong,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,5,10,"BDT 16,000 - 24,000",৮০০০+ ,"8,000",অনলাইন কোর্স,0,Content quality,Quality of teachers,"Convenience, no need to travel",Safety or health related reasons,Online community of learners,Cheaper cost of access,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Mymensingh,Mymensingh,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,3,10,"< BDT 12,000","80,00","8,000","2,000","2,000",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Female,Jessore,Khulna,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"BDT 16,000 - 24,000","8,000","8,000","3,000","3,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,Yes,Student ,Male,Rangpur,Rangpur,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"< BDT 12,000","8,000","8,000",1000+1000+1000+1000,"4,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,Yes,Student ,Male,Sunamganj,Sylhet,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"BDT 12,000 - 16,000","8,000","8,000","5,000","5,000",Cheaper cost of access,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Male,Faridpur,Dhaka,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,8,"> BDT 45,000","8,000","8,000","8,000","8,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,Yes,Student ,Male,Chandpur,Chittagong,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 16,000 - 24,000","8,000","8,000",Hostel fee 5000 tk college fee 300 tk ,0,Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Sylhet,Sylhet,Grade 11,Upto Grade 10,"Public school, government run",Grant (financial aid from school or govenrment),80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","8,000","8,000","2,500","2,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,,,
Divisional City/City Corporation,No,Student ,Female,Mymensingh,Mymensingh,Grade 12,Up to Grade 12,Private school,Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,10,"BDT 12,000 - 16,000","8,000","8,000","5,300","5,300",Cheaper cost of access,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,No,Student ,Male,Kishoreganj,Dhaka,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,5,10,"< BDT 12,000",Almost 8000৳,"8,000",Now 00৳,0,Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,,
Village/Sub-district,Yes,Student ,Male,Cumilla,Chittagong,Grade 12,PhD,Private school,Self-pay/Sourced from Family,60 to 70,Do not own or share a mobile,4,10,"> BDT 45,000","8,000","8,000",0,0,Others,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,Yes,Student ,Female,Dhaka,Dhaka,Grade 12,Upto Grade 10,"Public school, government run",Other,70 to 80,Shared mobile phone within the family,4,10,"< BDT 12,000",5000+3000,"8,000","5,000","5,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,10,"< BDT 12,000",8000 tk,"8,000",5000 tk,"5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Cheaper cost of access,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Rajshahi,Rajshahi,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"BDT 16,000 - 24,000", ৮০০০+,"8,000",সব প্রাইভেট কোর্স হিসেবে। পদার্থ - ১১ হাজার ১২ হাজার (১ম+২য় বর্ষ) রসায়নঃ১০ হাজার ১১হাজার(১ম+২য় বর্ষ)গণিতঃ১১হাজার ১২ হাজার(১ম+২য় বর্ষ)জীববিজ্ঞানঃ১০হাজার ১০হাজার (১ম+২য় বর্ষ),"44,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,No,Student ,Female,Rangpur,Rangpur,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,3,6,"BDT 24,000 - 45,000",৮ হাজার,"8,000",৩৫০০ সকল প্রাইভেট,"3,500",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Lower cost,,,,,
District City,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","8,000","8,000","5,000","5,000",Content quality,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Upto Grade 10,"Public school, government run",Loan,80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","8,000","8,000","5,000","5,000",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
Divisional City/City Corporation,No,Student ,Male,Rangpur,Rangpur,Grade 11,Upto Grade 10,"Public school, government run",Loan,80 to 100 ,Shared mobile phone within the family,4,10,"< BDT 12,000","8,000","8,000","8,000","8,000",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Divisional City/City Corporation,No,Student ,Male,Dinajpur,Rangpur,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,9,"BDT 16,000 - 24,000","8,000","8,000",Physics 1000 chemistry 1000 math1000,"3,000",Content quality,Cheaper cost of access,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,,
District City,No,Student ,Female,Chandpur,Chittagong,Grade 12,Upto Grade 10,Private school,Other,70 to 80,Own mobile phone,5,10,"< BDT 12,000","8,000","8,000","3,000","3,000",Cheaper cost of access,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,,
Village/Sub-district,No,Student ,Female,Rangamati,Chittagong,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,8,"< BDT 12,000","8,000","8,000","3,000","3,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Faridpur,Dhaka,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,6,"BDT 16,000 - 24,000","8,000","8,000","5,000","5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,No,Student ,Male,Rangpur,Rangpur,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,4,10,"BDT 12,000 - 16,000",৮ হাজার এর উপরে,"8,000",সব মিলিয়ে ৫ হাজার,"5,000",Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
District City,No,Student ,Male,Chittagong,Chittagong,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,2,10,"BDT 16,000 - 24,000","8,000","8,000","পদার্থ -৭০০,রসায়ন-৬০০, জীব-৬০০,গনিত-৬০০,ইংরেজি -৬০০,তথ্য-৬০০","3,700",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
District City,Yes,Student ,Male,Rangamati,Chittagong,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,2,7,"< BDT 12,000","8,000","8,000","4,000","4,000",Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more motivated in their studies.,No improvement was seen,,,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,No,Student ,Male,Cumilla,Chittagong,Grade 10,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,10,"BDT 12,000 - 16,000","8,000","8,000","4,000","4,000",Safety or health related reasons,Online community of learners,Others,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,,,
District City,No,Student ,Female,Rajbari,Dhaka,Grade 10,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,2,8,"BDT 24,000 - 45,000","8,000","8,000","8,000","8,000",Content quality,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
District City,No,Student ,Female,Dhaka,Dhaka,Grade 09,Up to Grade 12,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 16,000 - 24,000",8000 Tk,"8,000","1,000","1,000",Content quality,Quality of teachers,Others,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,Strengthen on-line student community,,,,
Village/Sub-district,No,Student ,Male,Mymensingh,Mymensingh,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,5,"< BDT 12,000","8,000","8,000",৬০০ ৬০০ ৫০০ ৩০০০,"2,000",Quality of teachers,Online community of learners,Others,,,,The student has gained access to extracurricular scholar opportunities.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,No,Student ,Male,Pabna,Rajshahi,Grade 11,Upto Grade 10,"Public school, government run",Other,80 to 100 ,Shared mobile phone within the family,4,10,"< BDT 12,000","8,000","8,000",Hoy kisu...porte cai but abbu tk dite pare na...,0,Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Divisional City/City Corporation,Yes,Student ,Male,Cox's Bazar,Chittagong,Grade 11,Up to Grade 12,"Public school, government run",Grant (financial aid from school or govenrment),80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","8,000","8,000","6,000","6,000",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more motivated in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,Strengthen on-line student community,Lower cost,,,
Village/Sub-district,Yes,Student ,Female,Chandpur,Chittagong,Grade 12,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,5,9,"BDT 12,000 - 16,000",৮০০০ টাকা,"8,000",অনলাইনে সব বিষয় পড়ি পেইড কোর্সে - ৪০০০ টাকা ,"4,000",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"BDT 12,000 - 16,000",around 8000,"8,000",0,0,Travel restriction to in-person centers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,No,Student ,Male,Gaibandha,Rangpur,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 12,000 - 16,000","8,000","8,000","6,000","6,000",Travel restriction to in-person centers,,,,,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Cumilla,Chittagong,Grade 10,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,3,10,"BDT 16,000 - 24,000","8,000","8,000",English - 1000,"1,000",Content quality,Online community of learners,Cheaper cost of access,Others,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Village/Sub-district,No,Student ,Male,Jamalpur,Mymensingh,Grade 10,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,5,"BDT 12,000 - 16,000","8,000","8,000","4,000","4,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Village/Sub-district,Yes,Student ,Female,Cumilla,Chittagong,Grade 11,Up to Grade 12,Private school,Other,80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","8,000","8,000","3,500","3,500",Cheaper cost of access,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,No,Student ,Male,Chandpur,Chittagong,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,5,8,"BDT 12,000 - 16,000","8,000","8,000","3,600","3,600",Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,,The student feels more motivated in their studies.,,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),,,
Divisional City/City Corporation,Yes,Student ,Male,Mymensingh,Mymensingh,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,5,"BDT 12,000 - 16,000","8,000","8,000",Private:4000 clg:400 ,"4,000",Content quality,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Kurigram,Rangpur,Grade 12,Up to Grade 12,"Public school, government run",Grant (financial aid from school or govenrment),70 to 80,Own mobile phone,4,10,"BDT 12,000 - 16,000","8,000","8,000","1,000","1,000",Online community of learners,,,,,,The student feels more motivated in their studies.,,,,,,Strengthen on-line student community,,,,,
Village/Sub-district,Yes,Student ,Male,Nilfamari,Rangpur,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,4,10,"< BDT 12,000",প্রায় আট হাজার ,"8,000","পদার্থবিজ্ঞান =500 টাকা,জীববিজ্ঞান =500 টাকা,উচ্চতর গণিত =500 টাকা এবং রসায়ন =500 টাকা ।","2,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student has seen an increase in their grades.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Pirojpur,Barisal,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,8,"BDT 24,000 - 45,000",8000৳,"8,000","8,000","8,000",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,Others,,No improvement was seen,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 09,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"> BDT 45,000","8,000","8,000","1,500","1,500",Content quality,Quality of teachers,Online community of learners,Others,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,The student has gained access to employability opportunities.,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Female,Rajshahi,Rajshahi,Grade 12,Up to Grade 12,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 24,000 - 45,000","8,000","8,000","1,000","1,000",Online community of learners,,,,,,The student has seen an increase in their grades.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Female,Tangail,Dhaka,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"> BDT 45,000","8,000","8,000","6,000","6,000",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,,,
Village/Sub-district,Yes,Student ,Male,Moulvibazar,Sylhet,Grade 11,Upto Grade 10,Private school,Grant (financial aid from school or govenrment),80 to 100 ,Shared mobile phone within the family,4,10,"BDT 12,000 - 16,000","8,000","8,000","4,000","4,000",Quality of teachers,Online community of learners,Cheaper cost of access,Others,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,2,10,"BDT 12,000 - 16,000","8,000","8,000",আমি সবসময় ইউটিউবে ক্লাস করি। ,0,Online community of learners,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Sylhet,Sylhet,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000",7000/8000,"7,500",4000 just coaching ,"4,000",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Female,Bagerhat,Khulna,Grade 07,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"> BDT 45,000",5000-10000,"7,500","Math, science-2500      English-600      Tution fee-1200","4,300",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Female,Gazipur,Dhaka,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,8,"BDT 24,000 - 45,000",5000-10000 or more sometimes ,"7,500",Private : 12000,"12,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,Strengthen on-line student community,Lower cost,,,
Village/Sub-district,Yes,Student ,Female,Manikganj,Dhaka,Grade 09,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,8,"BDT 12,000 - 16,000",৭-৮ হাজার,"7,500","4,000","4,000",Content quality,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Dinajpur,Rangpur,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000",7000-8000,"7,500","7,000","7,000",Others,,,,,,The student feels more motivated in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
